"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.525905354E0,-1.083437800E-1,9.755891562E-2,1.608848572E-3
3.536067707E0,-1.414763033E-1,8.512097597E-2,-3.884162903E-1
3.546230061E0,-2.945399284E-2,5.767488480E-2,-4.185256958E-1
3.556392414E0,1.898419559E-1,-1.459509134E-2,3.748044968E-1
3.566554768E0,1.635605991E-1,-6.485164165E-2,4.567852020E-1
3.576717122E0,3.774392605E-2,-3.894603252E-2,-1.321239471E-1
3.586879475E0,-5.007982254E-2,-1.587271690E-4,-3.426704407E-1
3.597041829E0,-9.530133009E-2,2.300405502E-2,-2.111539841E-1
3.607204182E0,-3.149849176E-2,2.752339840E-2,7.151508331E-2
3.617366536E0,2.399215102E-2,3.062146902E-2,1.717863083E-1
3.627528889E0,4.357695580E-3,5.626147985E-2,1.002159119E-1
3.637691243E0,-6.920167804E-2,1.147249937E-1,2.288055420E-2
3.647853596E0,-1.278670430E-1,1.728861928E-1,-8.071899414E-3
3.658046467E0,-1.410487890E-1,1.861499548E-1,-1.468181610E-2
3.668208821E0,-1.117745638E-1,1.727411747E-1,9.601593018E-3
3.678371174E0,-5.034637451E-2,1.201251745E-1,3.826522827E-2
3.688533528E0,-6.803184748E-3,6.115102768E-2,5.929565430E-2
3.698695881E0,2.129670978E-2,9.722292423E-3,5.156898499E-2
3.708858235E0,1.313006878E-2,-6.519675255E-3,1.559543610E-2
3.719020588E0,9.439557791E-3,-1.660281420E-2,-1.751518250E-2
3.729182942E0,-3.555864096E-3,-1.581954956E-2,-1.707839966E-2
3.739345295E0,-2.077636123E-2,7.873713970E-3,-4.862785339E-3
3.749507649E0,-1.111128926E-2,2.603304386E-2,1.185226440E-2
3.759670002E0,7.814526558E-3,3.911799192E-2,4.489517212E-2
3.769862873E0,5.129516125E-3,3.781330585E-2,5.604076385E-2
3.780025227E0,1.166802645E-2,3.891175985E-2,4.337120056E-2
3.790187581E0,3.753572702E-3,3.055024147E-2,3.093719482E-2
3.800349934E0,-2.511540055E-2,2.453535795E-2,4.004192352E-2
3.810512288E0,-2.732914686E-2,1.807230711E-2,4.393100739E-2
3.820674641E0,-3.485333920E-2,2.552062273E-2,-6.289672852E-2
3.830836995E0,-3.398570418E-2,4.727780819E-2,1.202039719E-1
3.840999348E0,-7.273915410E-2,5.623090267E-2,1.855659485E-2
3.851161702E0,-4.369628429E-2,6.536149979E-2,-1.446952820E-1
3.861324055E0,1.616650820E-2,3.776264191E-2,-1.018724442E-1
